Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
67,male,skilled,own,none,little,1169,6,radio/TV,1
22,female,skilled,own,little,moderate,5951,48,radio/TV,0
49,male,unskilled and resident,own,little,none,2096,12,education,1
45,male,skilled,free,little,little,7882,42,furniture/equipment,1
53,male,skilled,free,little,little,4870,24,car,0
35,male,unskilled and resident,free,none,none,9055,36,education,1
53,male,skilled,own,quite rich,none,2835,24,furniture/equipment,1
35,male,highly skilled,rent,little,moderate,6948,36,car,1
61,male,unskilled and resident,own,rich,none,3059,12,radio/TV,1
28,male,highly skilled,own,little,moderate,5234,30,car,0
25,female,skilled,rent,little,moderate,1295,12,car,0
24,female,skilled,rent,little,little,4308,48,business,0
22,female,skilled,own,little,moderate,1567,12,radio/TV,1
60,male,unskilled and resident,own,little,little,1199,24,car,0
28,female,skilled,rent,little,little,1403,15,car,1
32,female,unskilled and resident,own,moderate,little,1282,24,radio/TV,0
53,male,skilled,own,none,none,2424,24,radio/TV,1
25,male,skilled,own,none,little,8072,30,business,1
44,female,highly skilled,free,little,moderate,12579,24,car,0
31,male,skilled,own,quite rich,none,3430,24,radio/TV,1
48,male,skilled,own,little,none,2134,9,car,1
44,male,skilled,rent,quite rich,little,2647,6,radio/TV,1
48,male,unskilled and resident,rent,little,little,2241,10,car,1
44,male,skilled,own,moderate,moderate,1804,12,car,1
26,male,skilled,own,none,none,2069,10,furniture/equipment,1
36,male,unskilled and resident,own,little,little,1374,6,furniture/equipment,1
39,male,unskilled and resident,own,little,none,426,6,radio/TV,1
42,female,skilled,rent,rich,rich,409,12,radio/TV,1
34,male,skilled,own,little,moderate,2415,7,radio/TV,1
63,male,skilled,own,little,little,6836,60,business,0
36,male,skilled,own,rich,moderate,1913,18,business,1
27,male,skilled,own,little,little,4020,24,furniture/equipment,1
30,male,skilled,own,moderate,moderate,5866,18,car,1
57,male,unskilled and resident,rent,none,none,1264,12,business,1
33,female,highly skilled,own,little,rich,1474,12,furniture/equipment,1
25,male,unskilled and resident,own,little,moderate,4746,45,radio/TV,0
31,male,skilled,free,little,none,6110,48,education,1
37,male,skilled,own,little,rich,2100,18,radio/TV,0
37,male,skilled,own,little,rich,1225,10,domestic appliances,1
24,male,skilled,own,little,moderate,458,9,radio/TV,1
30,male,highly skilled,own,quite rich,none,2333,30,radio/TV,1
26,male,skilled,own,quite rich,moderate,1158,12,radio/TV,1
44,male,unskilled and resident,own,little,moderate,6204,18,repairs,1
24,male,skilled,rent,moderate,little,6187,30,car,1
58,female,unskilled and resident,free,little,little,6143,48,car,0
35,female,highly skilled,own,little,none,1393,11,car,1
39,male,skilled,own,quite rich,none,2299,36,radio/TV,1
23,female,unskilled and non-resident,rent,quite rich,little,1352,6,car,1
39,male,unskilled and resident,own,little,none,7228,11,car,1
28,female,skilled,own,moderate,none,2073,12,radio/TV,1
29,male,unskilled and resident,own,none,moderate,2333,24,furniture/equipment,1
30,male,highly skilled,own,little,moderate,5965,27,car,1
25,male,skilled,own,little,none,1262,12,radio/TV,1
31,male,skilled,own,none,none,3378,18,car,1
57,male,skilled,free,little,moderate,2225,36,car,0
26,male,unskilled and resident,own,none,none,783,6,car,1
52,male,highly skilled,own,none,moderate,6468,12,radio/TV,0
31,female,skilled,own,little,none,9566,36,radio/TV,1
23,female,highly skilled,own,little,rich,1961,18,car,1
23,female,unskilled and resident,rent,little,little,6229,36,furniture/equipment,0
27,male,skilled,own,little,moderate,1391,9,business,1
50,male,skilled,own,none,moderate,1537,15,radio/TV,1
61,male,highly skilled,free,little,moderate,1953,36,business,0
25,male,skilled,own,little,moderate,14421,48,business,0
26,female,skilled,own,little,none,3181,24,radio/TV,1
48,male,skilled,own,none,none,5190,27,repairs,1
29,female,skilled,own,little,none,2171,12,radio/TV,1
22,male,skilled,own,rich,moderate,1007,12,car,1
37,male,skilled,free,little,none,1819,36,education,0
25,female,skilled,own,none,none,2394,36,radio/TV,1
30,female,skilled,own,little,none,8133,36,car,1
46,male,unskilled and resident,rent,none,none,730,7,radio/TV,1
51,male,highly skilled,free,little,little,1164,8,vacation/others,1
41,female,unskilled and resident,own,little,moderate,5954,42,business,1
40,male,highly skilled,own,none,little,1977,36,education,0
66,male,highly skilled,free,little,little,1526,12,car,1
34,male,skilled,own,little,little,3965,42,radio/TV,0
51,male,skilled,own,little,moderate,4771,11,radio/TV,1
39,male,unskilled and resident,own,none,none,9436,54,car,1
22,male,skilled,own,little,moderate,3832,30,furniture/equipment,1
44,female,skilled,own,none,none,5943,24,radio/TV,0
47,male,skilled,own,quite rich,none,1213,15,radio/TV,1
24,female,unskilled and resident,rent,moderate,none,1568,18,business,1
58,female,unskilled and resident,own,little,little,1755,24,vacation/others,1
52,male,unskilled and resident,own,little,little,2315,10,radio/TV,1
29,female,highly skilled,own,little,none,1412,12,business,1
27,female,skilled,own,little,moderate,1295,18,furniture/equipment,1
47,male,skilled,free,moderate,moderate,12612,36,education,0
30,male,highly skilled,own,moderate,little,2249,18,car,1
28,male,skilled,own,little,little,1108,12,repairs,0
56,male,skilled,own,little,none,618,12,radio/TV,1
54,male,skilled,own,little,little,1409,12,car,1
33,female,unskilled and resident,own,none,none,797,12,radio/TV,0
20,male,skilled,rent,none,rich,3617,24,furniture/equipment,1
54,male,skilled,own,rich,moderate,1318,12,car,1
58,male,skilled,rent,little,moderate,15945,54,business,0
61,female,skilled,own,none,none,2012,12,education,1
34,male,skilled,own,moderate,moderate,2622,18,business,1
36,male,skilled,own,little,moderate,2337,36,radio/TV,1
36,male,highly skilled,rent,none,moderate,7057,20,car,1
41,male,unskilled and resident,rent,moderate,none,1469,24,car,1
24,male,skilled,rent,little,moderate,2323,36,radio/TV,1
24,female,skilled,own,little,none,932,6,radio/TV,1
35,male,skilled,rent,little,moderate,1919,9,furniture/equipment,1
26,male,skilled,rent,none,none,2445,12,car,1
39,male,highly skilled,own,little,moderate,11938,24,vacation/others,0
39,male,highly skilled,own,little,none,6458,18,car,0
32,male,skilled,own,little,moderate,6078,12,car,1
30,female,skilled,own,none,little,7721,24,furniture/equipment,1
35,male,skilled,own,quite rich,moderate,1410,14,business,1
31,male,skilled,own,moderate,moderate,1449,6,business,1
23,female,skilled,rent,little,rich,392,15,education,1
28,male,unskilled and resident,rent,little,moderate,6260,18,car,1
25,female,skilled,own,little,none,7855,36,car,0
35,male,skilled,own,quite rich,little,1680,12,radio/TV,1
47,male,skilled,own,none,none,3578,48,radio/TV,1
30,female,highly skilled,own,none,little,7174,42,radio/TV,0
27,female,skilled,rent,none,little,2132,10,furniture/equipment,1
23,female,skilled,own,quite rich,little,4281,33,furniture/equipment,0
36,male,highly skilled,own,quite rich,moderate,2366,12,car,1
25,female,skilled,own,little,little,1835,21,radio/TV,0
41,female,highly skilled,rent,little,none,3868,24,car,1
24,male,unskilled and resident,rent,little,none,1768,12,furniture/equipment,1
63,male,skilled,free,little,rich,781,10,car,1
27,female,skilled,rent,none,moderate,1924,18,furniture/equipment,0
30,male,skilled,own,little,little,2121,12,car,1
40,male,unskilled and resident,own,little,little,701,12,radio/TV,1
30,male,skilled,own,little,moderate,639,12,repairs,0
34,male,highly skilled,own,little,moderate,1860,12,car,1
29,female,skilled,own,little,little,3499,12,car,0
24,female,skilled,own,none,moderate,8487,48,car,1
29,male,skilled,own,little,little,6887,36,education,0
27,male,unskilled and resident,own,little,none,2708,15,furniture/equipment,1
47,male,skilled,free,little,none,1984,18,furniture/equipment,1
21,female,skilled,own,moderate,none,10144,60,radio/TV,1
38,female,skilled,own,none,none,1240,12,radio/TV,1
27,male,skilled,own,rich,none,8613,27,car,1
66,male,unskilled and resident,own,quite rich,moderate,766,12,radio/TV,0
35,male,skilled,own,none,moderate,2728,15,radio/TV,1
44,female,unskilled and resident,rent,little,rich,1881,12,radio/TV,1
27,male,unskilled and non-resident,own,rich,rich,709,6,car,1
30,female,highly skilled,own,little,moderate,4795,36,radio/TV,1
27,male,highly skilled,own,little,little,3416,27,radio/TV,1
22,male,skilled,own,little,little,2462,18,furniture/equipment,0
23,female,skilled,own,little,none,2288,21,furniture/equipment,1
30,male,skilled,own,moderate,moderate,3566,48,business,1
39,female,skilled,own,little,little,860,6,car,1
51,female,skilled,own,moderate,none,682,12,car,1
28,male,skilled,own,little,little,5371,36,furniture/equipment,1
46,male,skilled,own,rich,none,1582,18,radio/TV,1
42,male,skilled,free,moderate,none,1346,6,radio/TV,1
38,male,skilled,own,little,none,1924,10,radio/TV,1
24,male,skilled,own,little,rich,5848,36,radio/TV,1
29,female,skilled,rent,rich,moderate,7758,24,car,1
36,male,highly skilled,rent,moderate,moderate,6967,24,business,1
20,female,skilled,rent,little,little,1282,12,furniture/equipment,0
48,male,skilled,own,moderate,little,1288,9,repairs,1
45,male,unskilled and resident,own,little,little,339,12,education,1
38,male,skilled,own,moderate,moderate,3512,24,car,1
34,male,unskilled and resident,own,none,none,1898,6,radio/TV,1
36,male,skilled,own,moderate,none,2872,24,radio/TV,1
30,female,skilled,own,little,none,1055,18,car,1
36,male,skilled,own,quite rich,none,1262,15,domestic appliances,1
70,male,highly skilled,free,little,moderate,7308,10,car,1
36,male,skilled,own,quite rich,none,909,36,car,1
32,male,skilled,own,quite rich,none,2978,6,furniture/equipment,1
33,female,skilled,own,little,little,1131,18,furniture/equipment,0
20,female,skilled,own,rich,moderate,1577,11,furniture/equipment,1
25,female,skilled,rent,little,none,3972,24,furniture/equipment,1
31,male,skilled,own,little,moderate,1935,24,business,0
33,male,skilled,rent,little,little,950,15,car,0
26,female,skilled,own,little,none,763,12,furniture/equipment,1
34,female,highly skilled,own,little,moderate,2064,24,furniture/equipment,0
33,male,skilled,own,little,moderate,1414,8,radio/TV,1
26,male,skilled,own,little,little,3414,21,education,0
53,female,highly skilled,own,none,none,7485,30,car,0
42,male,skilled,own,little,little,2577,12,furniture/equipment,1
52,male,skilled,own,quite rich,little,338,6,radio/TV,1
31,male,highly skilled,rent,little,none,1963,12,radio/TV,1
65,male,skilled,own,little,little,571,21,car,1
28,male,skilled,own,little,none,9572,36,business,0
30,male,highly skilled,own,little,moderate,4455,36,business,0
40,male,unskilled and resident,own,none,little,1647,21,car,0
50,male,skilled,own,rich,none,3777,24,furniture/equipment,1
36,male,skilled,own,little,moderate,884,18,car,0
31,male,skilled,own,little,none,1360,15,radio/TV,1
74,female,highly skilled,free,little,moderate,5129,9,car,0
68,male,unskilled and non-resident,free,little,moderate,1175,16,car,1
20,male,skilled,own,moderate,little,674,12,radio/TV,0
33,female,skilled,own,little,moderate,3244,18,furniture/equipment,1
54,male,highly skilled,own,rich,none,4591,24,business,0
34,male,unskilled and resident,free,moderate,moderate,3844,48,business,0
36,male,skilled,own,little,moderate,3915,27,business,0
29,male,skilled,rent,little,none,2108,6,radio/TV,1
21,male,skilled,rent,moderate,moderate,3031,45,radio/TV,0
34,female,highly skilled,own,little,moderate,1501,9,education,0
28,female,skilled,own,little,none,1382,6,radio/TV,1
27,female,skilled,rent,moderate,moderate,951,12,furniture/equipment,0
36,male,skilled,free,none,moderate,2760,24,car,1
40,male,highly skilled,own,little,moderate,4297,18,furniture/equipment,0
52,male,skilled,own,quite rich,none,936,9,education,1
27,male,unskilled and resident,own,little,little,1168,12,car,1
26,male,skilled,own,little,none,5117,27,business,1
21,male,skilled,rent,little,little,902,12,education,0
38,male,unskilled and resident,own,little,none,1495,12,car,1
38,male,highly skilled,free,little,little,10623,30,car,1
43,male,skilled,own,little,none,1935,12,furniture/equipment,1
26,male,skilled,own,little,moderate,1424,12,domestic appliances,1
21,male,unskilled and resident,own,little,little,6568,24,business,1
55,male,skilled,own,rich,none,1413,12,car,1
33,male,skilled,own,none,none,3074,9,radio/TV,1
45,female,unskilled and resident,own,none,none,3835,36,radio/TV,1
50,male,skilled,own,little,little,5293,27,business,0
66,male,highly skilled,own,little,rich,1908,30,business,0
51,male,skilled,own,none,none,3342,36,radio/TV,1
39,female,unskilled and resident,own,none,moderate,932,6,education,1
31,male,skilled,own,little,little,3104,18,business,1
23,male,skilled,own,little,rich,3913,36,radio/TV,1
24,male,unskilled and resident,rent,little,little,3021,24,furniture/equipment,1
64,female,skilled,own,little,none,1364,10,car,1
26,male,unskilled and resident,own,little,moderate,625,12,radio/TV,1
23,female,skilled,rent,none,little,1200,12,education,1
30,male,skilled,own,little,none,707,12,radio/TV,1
32,male,skilled,own,none,none,2978,24,business,1
30,male,skilled,own,little,none,4657,15,car,1
27,male,skilled,own,little,none,2613,36,repairs,1
27,male,skilled,own,rich,moderate,10961,48,radio/TV,0
53,male,highly skilled,free,little,little,7865,12,furniture/equipment,0
22,male,skilled,own,little,none,1478,9,radio/TV,0
22,male,skilled,free,little,little,3149,24,furniture/equipment,1
26,male,skilled,own,little,rich,4210,36,radio/TV,0
51,male,unskilled and resident,free,quite rich,none,2507,9,car,1
35,male,skilled,own,moderate,none,2141,12,radio/TV,1
25,male,unskilled and resident,own,little,moderate,866,18,radio/TV,1
42,male,unskilled and resident,own,little,none,1544,4,radio/TV,1
30,male,highly skilled,own,little,little,1823,24,radio/TV,0
23,male,unskilled and non-resident,own,none,moderate,14555,6,car,0
61,male,unskilled and resident,rent,moderate,moderate,2767,21,business,0
35,female,skilled,own,little,none,1291,12,radio/TV,1
39,male,skilled,own,little,little,2522,30,radio/TV,1
29,female,skilled,own,none,little,915,24,car,0
51,male,skilled,own,little,none,1595,6,radio/TV,1
24,male,skilled,free,little,little,4605,48,car,0
27,female,skilled,own,little,none,1185,12,business,1
35,female,unskilled and resident,own,quite rich,none,3447,12,education,1
25,male,skilled,own,little,none,1258,24,business,1
52,male,skilled,own,little,none,717,12,radio/TV,1
35,male,skilled,rent,moderate,none,1204,6,car,1
26,male,skilled,own,little,rich,1925,24,furniture/equipment,1
22,female,skilled,rent,little,none,433,18,radio/TV,0
39,female,unskilled and resident,own,rich,little,666,6,car,1
46,female,unskilled and resident,own,little,rich,2251,12,furniture/equipment,1
24,female,skilled,own,little,moderate,2150,30,car,0
35,male,skilled,own,moderate,none,4151,24,furniture/equipment,1
24,male,skilled,own,none,moderate,2030,9,furniture/equipment,1
27,male,unskilled and resident,own,none,moderate,7418,60,radio/TV,1
35,male,unskilled and resident,own,little,none,2684,24,radio/TV,1
29,male,skilled,free,little,little,2149,12,radio/TV,0
23,female,skilled,own,moderate,none,3812,15,car,1
57,female,unskilled and resident,own,moderate,none,1154,11,radio/TV,1
27,male,skilled,own,little,little,1657,12,furniture/equipment,1
55,female,skilled,own,little,little,1603,24,radio/TV,1
36,male,highly skilled,free,little,little,5302,18,car,1
57,female,unskilled and resident,free,little,none,2748,12,education,1
32,male,unskilled and resident,own,little,none,1231,10,car,1
37,male,skilled,own,little,moderate,802,15,radio/TV,0
36,male,skilled,own,none,none,6304,36,business,1
38,female,skilled,own,little,none,1533,24,radio/TV,1
45,male,highly skilled,own,little,little,8978,14,car,0
25,male,skilled,own,none,none,999,24,radio/TV,1
32,male,skilled,own,none,none,2662,18,car,1
37,female,skilled,rent,quite rich,none,1402,12,furniture/equipment,1
36,male,highly skilled,free,none,moderate,12169,48,car,1
28,male,skilled,own,little,moderate,3060,48,radio/TV,0
34,male,unskilled and resident,own,little,little,11998,30,repairs,0
32,male,skilled,own,little,none,2697,9,radio/TV,1
26,female,skilled,own,little,none,2404,18,radio/TV,1
49,male,unskilled and resident,own,none,little,1262,12,furniture/equipment,1
32,female,skilled,own,little,none,4611,6,furniture/equipment,0
29,male,highly skilled,rent,moderate,none,1901,24,radio/TV,1
23,male,skilled,rent,rich,none,3368,15,car,1
50,male,skilled,own,little,none,1574,12,furniture/equipment,1
49,male,unskilled and resident,own,none,rich,1445,18,radio/TV,1
63,male,skilled,own,none,none,1520,15,furniture/equipment,1
37,male,skilled,own,moderate,moderate,3878,24,car,1
35,female,unskilled and resident,own,little,little,10722,47,car,1
26,male,skilled,own,little,little,4788,48,car,1
31,male,highly skilled,free,moderate,moderate,7582,48,vacation/others,1
49,female,skilled,own,little,moderate,1092,12,radio/TV,1
48,male,skilled,own,little,little,1024,24,radio/TV,0
26,male,skilled,own,little,none,1076,12,business,1
28,male,highly skilled,rent,little,moderate,9398,36,car,0
44,female,highly skilled,free,little,little,6419,24,car,1
56,male,skilled,free,little,rich,4796,42,car,1
46,male,highly skilled,own,none,none,7629,48,business,1
26,female,skilled,own,little,moderate,9960,48,furniture/equipment,0
20,female,skilled,rent,none,none,4675,12,car,1
45,male,unskilled and resident,own,none,none,1287,10,car,1
43,male,skilled,own,little,none,2515,18,furniture/equipment,1
32,male,skilled,own,rich,moderate,2745,21,furniture/equipment,1
54,female,unskilled and non-resident,own,little,none,672,6,car,1
42,female,skilled,own,little,moderate,3804,36,radio/TV,0
37,male,unskilled and resident,own,none,rich,1344,24,car,0
49,male,skilled,own,little,little,1038,10,car,1
44,male,skilled,free,quite rich,none,10127,48,car,0
33,male,skilled,own,rich,none,1543,6,furniture/equipment,1
24,female,unskilled and resident,rent,none,none,4811,30,car,1
33,male,unskilled and resident,own,moderate,little,727,12,radio/TV,0
24,female,skilled,own,little,moderate,1237,8,furniture/equipment,0
22,male,unskilled and resident,rent,little,moderate,276,9,car,1
40,male,unskilled and non-resident,free,none,moderate,5381,48,vacation/others,1
25,male,skilled,own,moderate,none,5511,24,furniture/equipment,1
26,female,skilled,own,little,rich,3749,24,furniture/equipment,1
25,male,unskilled and resident,own,little,moderate,685,12,car,0
29,male,unskilled and resident,own,none,rich,1494,4,car,1
31,male,skilled,own,little,little,2746,36,furniture/equipment,0
38,male,unskilled and resident,own,little,little,708,12,furniture/equipment,1
48,female,unskilled and resident,own,none,moderate,4351,24,furniture/equipment,1
32,male,skilled,own,little,none,701,12,education,1
27,female,unskilled and resident,own,little,little,3643,15,furniture/equipment,1
28,male,highly skilled,own,little,moderate,4249,30,car,0
32,male,skilled,own,little,little,1938,24,radio/TV,0
34,male,highly skilled,free,little,little,2910,24,car,1
28,male,skilled,own,rich,little,2659,18,furniture/equipment,1
36,female,skilled,own,little,none,1028,18,car,1
39,male,unskilled and resident,own,little,little,3398,8,car,1
49,male,skilled,rent,none,none,5801,12,furniture/equipment,1
34,female,skilled,own,rich,none,1525,24,car,1
31,male,skilled,own,little,rich,4473,36,radio/TV,1
28,male,skilled,own,little,moderate,1068,6,radio/TV,1
75,male,highly skilled,free,little,little,6615,24,car,1
